gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group E,some high school,standard,completed,89,94,92
male,group E,associate's degree,standard,none,69,70,71
female,group E,high school,standard,none,72,75,72
male,group B,high school,free/reduced,completed,80,81,78
male,group B,high school,standard,completed,84,86,86
female,group C,master's degree,free/reduced,none,73,68,73
male,group A,associate's degree,standard,completed,96,92,95
female,group E,some college,standard,completed,100,100,100
male,group A,some high school,free/reduced,completed,78,78,81
female,group A,some college,free/reduced,completed,85,85,86
male,group C,master's degree,standard,none,77,83,77
male,group E,some high school,free/reduced,none,57,61,57
female,group E,high school,free/reduced,none,62,67,69
female,group D,bachelor's degree,free/reduced,completed,91,90,89
female,group A,master's degree,free/reduced,completed,92,88,87
female,group A,master's degree,free/reduced,completed,91,89,92
female,group B,associate's degree,standard,completed,99,99,100
female,group D,some college,standard,completed,93,94,94
female,group B,master's degree,free/reduced,completed,93,93,92
female,group B,master's degree,standard,completed,97,100,96
male,group B,high school,standard,none,73,68,73
male,group C,high school,free/reduced,none,51,50,51
female,group C,some high school,standard,completed,99,92,93
male,group B,bachelor's degree,free/reduced,completed,86,89,88
male,group D,associate's degree,free/reduced,completed,88,91,91
male,group A,bachelor's degree,standard,none,80,83,80
male,group D,some high school,free/reduced,none,61,62,59
female,group E,high school,free/reduced,completed,91,94,88
male,group C,some college,free/reduced,completed,81,82,83
female,group A,high school,free/reduced,none,60,60,59
male,group A,associate's degree,free/reduced,none,56,52,54
male,group E,high school,standard,none,67,72,66
male,group E,associate's degree,standard,none,70,71,73
female,group B,associate's degree,free/reduced,completed,80,86,86
male,group C,associate's degree,free/reduced,none,71,71,72
female,group C,some high school,standard,none,78,74,77
male,group D,associate's degree,free/reduced,completed,72,72,77
female,group B,associate's degree,standard,none,86,87,82
male,group B,some college,free/reduced,none,67,63,65
female,group B,bachelor's degree,free/reduced,none,75,75,74
female,group B,master's degree,free/reduced,completed,78,82,81
male,group C,bachelor's degree,free/reduced,none,71,71,69
female,group C,associate's degree,free/reduced,completed,84,82,82
male,group B,some college,free/reduced,completed,84,85,83
male,group D,high school,free/reduced,none,64,69,69
male,group A,some college,standard,none,88,83,88
male,group A,associate's degree,standard,none,66,70,68
male,group D,some college,standard,none,67,70,66
male,group B,some college,free/reduced,completed,86,87,87
male,group C,associate's degree,free/reduced,none,63,60,64
male,group A,some high school,free/reduced,none,51,54,52
male,group E,some college,free/reduced,none,62,61,60
male,group E,master's degree,free/reduced,completed,81,81,82
male,group D,master's degree,free/reduced,none,67,68,68
female,group B,some college,free/reduced,none,63,66,65
female,group A,some high school,standard,completed,97,100,97
male,group B,high school,free/reduced,completed,70,71,69
male,group A,associate's degree,standard,none,77,83,80
male,group D,master's degree,standard,none,80,85,85
male,group D,high school,free/reduced,none,58,57,56
male,group E,some college,free/reduced,none,54,54,53
male,group B,high school,standard,none,78,81,77
male,group E,bachelor's degree,standard,completed,99,97,96
male,group B,master's degree,free/reduced,completed,87,89,86
female,group E,some college,free/reduced,none,63,61,65
male,group C,associate's degree,standard,none,77,78,73
female,group C,some high school,free/reduced,completed,82,81,79
male,group C,some college,free/reduced,none,44,45,43
male,group C,associate's degree,free/reduced,none,64,66,62
female,group A,some high school,standard,none,85,82,88
male,group C,some high school,standard,none,75,73,72
female,group D,some college,standard,none,78,74,75
male,group D,high school,free/reduced,completed,75,79,76
male,group A,high school,free/reduced,none,58,64,60
female,group C,some high school,standard,none,79,76,80
male,group C,high school,standard,none,66,67,69
female,group C,bachelor's degree,standard,completed,100,100,100
male,group E,some high school,free/reduced,completed,73,73,76
female,group B,some high school,standard,completed,99,98,98
female,group E,associate's degree,standard,completed,92,93,92
male,group B,high school,free/reduced,none,50,56,56
male,group C,some high school,free/reduced,completed,85,86,83
female,group C,bachelor's degree,free/reduced,none,83,80,80
male,group E,associate's degree,standard,none,66,72,71
male,group E,some college,free/reduced,completed,73,75,73
male,group B,some high school,free/reduced,completed,68,75,74
female,group D,bachelor's degree,standard,completed,100,100,100
female,group B,master's degree,free/reduced,completed,82,82,82
female,group E,bachelor's degree,standard,completed,100,100,100
female,group E,bachelor's degree,standard,none,78,81,79
female,group A,associate's degree,free/reduced,completed,87,89,89
female,group E,some college,free/reduced,completed,77,76,75
female,group A,master's degree,free/reduced,completed,91,91,92
female,group D,high school,free/reduced,none,56,58,55
female,group B,high school,free/reduced,completed,88,85,90
male,group B,bachelor's degree,free/reduced,none,68,67,69
female,group A,associate's degree,standard,completed,96,96,99
male,group B,associate's degree,standard,completed,100,99,97
male,group E,high school,free/reduced,none,50,54,53
male,group C,master's degree,standard,completed,100,100,100
female,group A,some college,free/reduced,none,62,62,64
female,group B,master's degree,standard,none,93,92,90
female,group A,some high school,standard,none,75,79,76
female,group A,some high school,standard,completed,100,100,100
male,group C,some college,free/reduced,completed,79,81,81
female,group E,high school,standard,completed,97,98,94
female,group A,some college,free/reduced,none,63,60,65
female,group B,associate's degree,standard,completed,97,100,100
female,group D,some high school,standard,none,61,59,59
female,group A,bachelor's degree,standard,completed,100,100,100
male,group A,bachelor's degree,standard,none,85,87,88
female,group C,high school,standard,none,77,72,74
male,group E,associate's degree,free/reduced,none,50,53,53
female,group D,master's degree,free/reduced,completed,85,87,85
male,group B,associate's degree,standard,none,61,59,61
female,group D,bachelor's degree,standard,none,89,92,90
female,group B,bachelor's degree,standard,none,82,78,78
male,group E,some high school,standard,none,72,70,72
male,group B,associate's degree,free/reduced,none,61,58,57
male,group C,associate's degree,standard,none,81,83,84
female,group C,bachelor's degree,free/reduced,completed,92,92,87
male,group C,master's degree,standard,completed,100,100,100
female,group C,high school,free/reduced,none,62,62,62
female,group D,high school,standard,completed,100,100,100
male,group E,associate's degree,standard,completed,97,93,93
male,group B,high school,free/reduced,none,67,65,63
female,group B,bachelor's degree,standard,none,76,76,76
female,group C,bachelor's degree,standard,none,88,90,91
male,group C,associate's degree,standard,completed,90,88,90
male,group A,associate's degree,free/reduced,none,58,57,55
male,group E,some high school,standard,completed,91,91,96
female,group D,associate's degree,standard,none,84,84,81
female,group B,master's degree,free/reduced,completed,91,91,90
female,group A,high school,free/reduced,none,53,53,49
female,group A,associate's degree,free/reduced,none,67,71,72
female,group B,some college,standard,completed,94,91,95
female,group D,some high school,standard,completed,95,93,93
male,group A,some college,standard,completed,100,98,99
female,group A,bachelor's degree,free/reduced,completed,91,91,89
female,group E,high school,standard,completed,95,93,95
female,group D,associate's degree,standard,completed,89,88,91
male,group A,some college,free/reduced,none,63,60,65
female,group D,high school,free/reduced,completed,82,81,83
female,group B,bachelor's degree,free/reduced,none,68,64,66
male,group C,master's degree,free/reduced,none,57,55,56
female,group A,some high school,free/reduced,completed,76,82,78
female,group E,high school,standard,none,74,75,72
female,group B,high school,free/reduced,completed,74,78,76
female,group D,master's degree,standard,completed,93,93,95
female,group B,high school,standard,none,85,81,83
male,group A,bachelor's degree,free/reduced,none,59,61,65
male,group D,bachelor's degree,free/reduced,completed,85,82,82
male,group C,master's degree,free/reduced,completed,76,75,75
female,group B,some high school,standard,none,82,84,82
female,group A,associate's degree,free/reduced,none,63,68,58
female,group E,some college,free/reduced,none,66,63,64
male,group D,associate's degree,free/reduced,none,63,65,67
female,group B,high school,free/reduced,completed,75,73,77
female,group B,some college,free/reduced,completed,87,85,90
male,group C,master's degree,standard,completed,88,91,92
female,group C,master's degree,standard,completed,100,100,100
male,group E,some high school,standard,none,76,76,75
male,group E,some college,free/reduced,none,57,57,52
male,group A,bachelor's degree,free/reduced,completed,88,89,92
female,group A,some college,free/reduced,completed,96,93,95
female,group E,high school,standard,completed,92,93,95
female,group E,bachelor's degree,free/reduced,completed,91,86,85
female,group D,master's degree,free/reduced,completed,85,84,82
female,group C,some college,free/reduced,completed,79,81,79
female,group A,associate's degree,standard,completed,95,96,94
female,group C,some high school,free/reduced,completed,73,69,78
male,group C,associate's degree,standard,completed,100,100,100
female,group E,some high school,free/reduced,none,55,53,55
male,group D,high school,standard,completed,91,89,91
female,group B,associate's degree,standard,none,79,79,78
female,group D,some college,standard,none,86,87,88
female,group D,some college,free/reduced,completed,80,82,80
male,group C,associate's degree,free/reduced,completed,83,79,83
male,group D,some college,standard,none,78,80,77
male,group A,high school,standard,none,76,75,79
male,group C,bachelor's degree,free/reduced,completed,82,80,81
female,group A,high school,free/reduced,none,55,57,55
male,group B,some high school,standard,completed,84,85,87
female,group C,high school,free/reduced,completed,91,89,91
female,group B,some high school,free/reduced,completed,84,81,86
male,group C,some college,free/reduced,none,58,58,61
male,group E,bachelor's degree,free/reduced,none,77,74,71
male,group D,some college,standard,completed,93,95,96
male,group E,master's degree,free/reduced,none,67,68,68
male,group B,some college,free/reduced,none,57,59,61
male,group D,some high school,standard,none,73,76,68
male,group C,some college,standard,none,74,75,75
male,group D,some college,free/reduced,none,57,59,57
female,group A,bachelor's degree,free/reduced,none,72,72,77
male,group D,some college,free/reduced,none,65,61,64
male,group A,bachelor's degree,free/reduced,completed,92,91,89
female,group D,associate's degree,standard,none,82,83,82
male,group A,master's degree,standard,none,72,74,77
female,group B,bachelor's degree,standard,none,95,89,93
female,group E,some high school,free/reduced,none,57,58,58
male,group C,associate's degree,free/reduced,none,59,62,58
female,group D,bachelor's degree,free/reduced,none,72,73,72
female,group E,bachelor's degree,free/reduced,none,70,70,68
female,group C,master's degree,standard,none,88,89,89
female,group C,some high school,standard,completed,100,98,100
male,group A,high school,free/reduced,none,57,51,49
female,group B,high school,standard,none,80,84,85
male,group B,bachelor's degree,free/reduced,none,62,63,63
female,group E,some college,free/reduced,none,66,66,66
female,group B,some high school,standard,completed,92,92,92
female,group D,associate's degree,free/reduced,completed,82,81,78
female,group B,some college,free/reduced,completed,92,90,88
male,group E,some college,standard,completed,100,100,100
male,group B,some high school,free/reduced,completed,74,74,70
female,group D,bachelor's degree,free/reduced,completed,99,94,92
female,group A,bachelor's degree,standard,completed,100,100,100
male,group E,bachelor's degree,free/reduced,completed,87,83,84
female,group A,bachelor's degree,standard,completed,100,100,100
female,group A,high school,free/reduced,completed,76,73,74
female,group A,bachelor's degree,standard,completed,96,99,99
male,group C,high school,standard,completed,87,84,88
male,group C,high school,standard,completed,94,94,93
male,group A,bachelor's degree,free/reduced,completed,83,87,89
female,group E,master's degree,standard,completed,100,100,100
female,group D,associate's degree,standard,completed,100,100,95
male,group D,some college,standard,none,79,77,80
male,group B,high school,standard,completed,75,76,80
male,group E,some high school,standard,none,64,65,66
male,group C,some high school,free/reduced,completed,75,70,74
female,group A,associate's degree,free/reduced,completed,89,88,87
male,group B,some high school,free/reduced,none,60,61,65
female,group D,master's degree,free/reduced,completed,84,85,85
male,group C,some high school,free/reduced,none,61,65,61
female,group C,some college,free/reduced,none,61,63,64
male,group A,some college,free/reduced,none,56,57,58
male,group D,high school,standard,completed,94,94,90
male,group E,bachelor's degree,free/reduced,completed,83,84,85
male,group C,master's degree,standard,completed,100,100,100
female,group A,high school,standard,none,71,69,71
male,group E,master's degree,free/reduced,none,64,61,67
female,group D,bachelor's degree,standard,completed,100,100,100
female,group C,some high school,standard,completed,93,90,92
female,group E,some high school,standard,completed,97,96,96
female,group E,bachelor's degree,standard,completed,96,94,94
male,group E,high school,free/reduced,completed,82,85,85
female,group C,bachelor's degree,free/reduced,none,77,72,76
female,group C,associate's degree,free/reduced,none,78,77,77
female,group B,some college,free/reduced,none,71,72,72
male,group D,high school,free/reduced,completed,69,67,68
male,group A,master's degree,free/reduced,none,67,69,66
male,group E,associate's degree,free/reduced,none,55,53,52
male,group B,high school,free/reduced,none,66,60,63
female,group A,bachelor's degree,free/reduced,none,62,67,63
female,group B,bachelor's degree,free/reduced,none,62,64,67
male,group C,bachelor's degree,standard,completed,94,92,91
female,group E,bachelor's degree,free/reduced,none,66,69,65
female,group A,master's degree,standard,completed,100,96,100
female,group A,associate's degree,standard,completed,95,94,91
male,group A,some high school,standard,completed,97,98,99
male,group A,some college,standard,completed,99,96,98
female,group A,master's degree,free/reduced,completed,92,92,92
male,group B,master's degree,standard,none,88,87,90
male,group E,some high school,free/reduced,none,57,57,61
male,group C,some high school,free/reduced,completed,70,71,72
male,group C,some college,standard,completed,88,86,88
male,group C,some college,free/reduced,completed,74,74,81
female,group C,some high school,standard,none,83,80,80
male,group B,bachelor's degree,standard,completed,96,92,93
female,group D,master's degree,free/reduced,none,74,71,70
female,group E,high school,free/reduced,completed,84,88,86
male,group A,some college,standard,none,77,79,76
female,group D,some college,free/reduced,completed,86,85,85
female,group C,some high school,free/reduced,none,68,63,63
female,group D,associate's degree,free/reduced,completed,88,86,88
male,group E,high school,standard,none,78,78,75
male,group A,high school,standard,none,65,65,63
female,group A,some college,free/reduced,none,67,67,64
male,group E,bachelor's degree,free/reduced,none,56,50,56
male,group E,associate's degree,free/reduced,none,49,50,52
male,group C,high school,free/reduced,none,53,53,50
male,group A,some college,free/reduced,none,62,61,62
female,group D,high school,standard,completed,100,100,100
female,group B,associate's degree,free/reduced,completed,98,100,99
male,group B,associate's degree,standard,completed,99,100,100
male,group E,master's degree,free/reduced,completed,86,87,88
female,group C,some high school,standard,completed,95,93,95
female,group B,some high school,free/reduced,none,52,46,54
male,group A,some college,standard,none,74,74,78
female,group E,associate's degree,free/reduced,none,70,72,69
male,group D,master's degree,standard,none,83,84,82
male,group E,master's degree,standard,none,74,75,74
female,group D,high school,standard,completed,99,95,96
female,group E,high school,standard,completed,98,97,99
male,group E,master's degree,standard,completed,100,100,100
male,group E,high school,standard,completed,90,89,88
female,group D,associate's degree,free/reduced,none,68,70,66
male,group D,bachelor's degree,standard,none,82,83,82
female,group E,associate's degree,free/reduced,none,64,61,62
male,group B,master's degree,free/reduced,completed,89,85,87
female,group C,master's degree,free/reduced,none,70,71,64
female,group C,associate's degree,free/reduced,completed,76,74,75
female,group C,high school,free/reduced,none,58,56,56
male,group D,high school,standard,none,64,65,60
male,group D,some high school,standard,completed,92,95,89
female,group B,master's degree,standard,none,90,86,83
male,group C,some college,free/reduced,none,54,58,55
female,group C,some high school,standard,completed,100,100,100
female,group E,high school,standard,none,78,75,74
male,group D,associate's degree,standard,completed,87,87,86
male,group C,high school,standard,none,67,68,69
female,group B,associate's degree,standard,none,89,85,89
male,group B,some high school,free/reduced,none,55,52,51
male,group C,master's degree,standard,none,80,83,81
female,group D,high school,free/reduced,none,62,63,62
female,group B,associate's degree,free/reduced,none,67,69,66
male,group E,master's degree,free/reduced,none,74,77,73
female,group B,some college,free/reduced,none,60,57,58
female,group A,associate's degree,free/reduced,completed,78,77,81
male,group A,some high school,standard,completed,83,82,86
female,group D,some college,standard,none,80,79,78
female,group C,some college,standard,none,84,85,86
male,group D,bachelor's degree,free/reduced,completed,81,82,74
male,group D,high school,standard,none,73,77,74
female,group D,associate's degree,standard,none,82,81,79
female,group D,some college,free/reduced,completed,80,79,82
male,group E,bachelor's degree,free/reduced,none,56,54,57
male,group E,some high school,free/reduced,none,47,48,48
male,group B,master's degree,free/reduced,completed,79,81,82
male,group A,associate's degree,standard,none,74,71,74
female,group D,some college,free/reduced,none,71,74,74
male,group B,high school,free/reduced,completed,76,81,74
male,group A,bachelor's degree,standard,none,74,73,76
female,group C,some college,standard,completed,100,100,100
male,group E,high school,free/reduced,none,62,62,59
female,group A,some college,standard,none,84,90,91
male,group C,associate's degree,free/reduced,completed,80,79,76
male,group A,associate's degree,free/reduced,completed,84,84,85
male,group E,associate's degree,standard,none,77,82,80
female,group E,some high school,standard,completed,91,84,89
female,group B,some high school,free/reduced,completed,79,78,76
male,group D,bachelor's degree,free/reduced,none,75,75,77
female,group A,associate's degree,free/reduced,none,61,62,64
female,group A,high school,standard,none,61,57,58
female,group C,some college,free/reduced,completed,84,84,85
female,group E,master's degree,free/reduced,completed,96,96,94
female,group A,high school,free/reduced,completed,78,76,80
female,group E,some high school,free/reduced,completed,85,83,82
male,group A,some high school,free/reduced,none,58,59,61
male,group B,high school,standard,completed,89,87,89
female,group D,some high school,free/reduced,none,55,58,57
male,group A,associate's degree,free/reduced,completed,86,80,79
male,group E,bachelor's degree,free/reduced,none,67,66,63
male,group B,some college,free/reduced,none,66,61,60
male,group A,bachelor's degree,standard,none,82,81,79
female,group C,some college,standard,completed,95,98,92
male,group D,some college,standard,none,80,79,76
male,group A,bachelor's degree,free/reduced,none,69,67,71
female,group B,high school,free/reduced,completed,74,72,72
female,group C,some college,standard,none,79,75,80
male,group B,bachelor's degree,standard,completed,100,100,99
male,group B,some college,standard,completed,90,94,94
male,group C,master's degree,free/reduced,none,66,67,70
male,group B,high school,free/reduced,none,53,55,53
male,group C,associate's degree,standard,completed,96,94,91
male,group A,some college,standard,none,72,73,69
female,group C,master's degree,standard,completed,93,97,93
male,group C,associate's degree,free/reduced,completed,71,71,73
male,group D,associate's degree,free/reduced,completed,83,79,82
female,group C,some college,free/reduced,none,66,67,66
female,group C,bachelor's degree,standard,completed,100,100,100
female,group A,some college,standard,none,79,81,80
female,group D,master's degree,free/reduced,none,69,72,71
male,group E,associate's degree,standard,none,81,78,81
male,group A,some college,free/reduced,none,60,62,62
male,group A,bachelor's degree,standard,completed,100,100,100
male,group E,some college,standard,none,79,77,74
male,group C,high school,standard,completed,87,89,88
male,group B,bachelor's degree,standard,completed,100,99,100
female,group D,master's degree,free/reduced,none,66,63,69
male,group B,associate's degree,standard,completed,93,93,93
female,group E,some college,free/reduced,completed,86,86,87
female,group A,bachelor's degree,free/reduced,none,70,70,71
male,group A,high school,free/reduced,completed,74,72,74
female,group D,bachelor's degree,standard,completed,96,98,99
male,group A,some high school,free/reduced,completed,78,78,80
female,group A,high school,free/reduced,completed,83,84,82
male,group D,master's degree,free/reduced,none,75,74,70
female,group D,associate's degree,standard,completed,98,100,100
male,group E,master's degree,standard,completed,100,99,100
male,group A,some college,free/reduced,completed,75,77,76
male,group A,bachelor's degree,standard,completed,100,100,100
male,group E,some high school,free/reduced,none,58,55,51
male,group C,high school,free/reduced,completed,75,78,74
female,group C,high school,standard,none,74,72,73
female,group C,bachelor's degree,free/reduced,completed,84,88,86
female,group E,some high school,standard,none,77,77,76
male,group A,bachelor's degree,standard,none,76,71,76
female,group E,some college,free/reduced,none,70,72,73
male,group E,master's degree,standard,none,87,85,87
male,group C,high school,standard,none,66,68,67
female,group B,some college,free/reduced,completed,80,82,79
female,group A,master's degree,free/reduced,completed,78,75,79
male,group C,some college,standard,completed,86,87,89
female,group B,some high school,standard,none,79,79,75
male,group B,high school,free/reduced,completed,76,72,79
male,group D,bachelor's degree,standard,none,83,85,83
male,group A,bachelor's degree,standard,none,72,71,69
male,group B,master's degree,standard,completed,100,100,99
male,group C,associate's degree,standard,completed,100,100,100
female,group D,some high school,standard,none,77,73,73
female,group A,master's degree,standard,none,76,78,78
male,group E,associate's degree,standard,completed,96,98,97
male,group C,some college,free/reduced,completed,77,78,80
female,group B,some high school,free/reduced,completed,82,81,81
female,group B,some college,free/reduced,completed,85,85,82
male,group C,high school,free/reduced,none,55,58,56
female,group B,some high school,free/reduced,completed,71,78,75
male,group D,associate's degree,standard,completed,96,93,90
female,group A,high school,standard,completed,100,100,100
male,group D,bachelor's degree,standard,none,72,72,73
female,group B,associate's degree,standard,none,72,75,73
male,group E,master's degree,free/reduced,none,63,64,68
female,group A,bachelor's degree,standard,none,86,87,87
female,group A,bachelor's degree,standard,completed,100,99,100
male,group C,master's degree,free/reduced,none,63,63,65
female,group C,some high school,standard,completed,97,99,95
male,group E,bachelor's degree,standard,completed,100,100,100
female,group A,associate's degree,free/reduced,completed,78,78,81
male,group E,high school,standard,completed,94,91,93
female,group C,bachelor's degree,standard,none,95,94,91
male,group C,associate's degree,standard,none,75,71,72
female,group A,some college,standard,none,74,72,72
male,group D,associate's degree,standard,completed,86,87,92
female,group B,high school,free/reduced,completed,80,79,80
male,group C,associate's degree,free/reduced,completed,87,82,83
male,group C,master's degree,free/reduced,completed,88,86,85
male,group D,high school,free/reduced,completed,74,74,75
female,group D,some high school,free/reduced,none,54,55,53
male,group E,some college,free/reduced,completed,83,83,84
female,group E,master's degree,standard,none,78,79,79
male,group B,some high school,free/reduced,completed,73,69,76
female,group B,associate's degree,free/reduced,completed,86,90,86
male,group A,high school,standard,none,58,57,56
female,group E,some college,standard,none,82,78,78
female,group C,master's degree,free/reduced,completed,85,89,83
male,group E,some high school,standard,completed,90,91,89
female,group C,some high school,free/reduced,completed,76,80,76
female,group D,some college,standard,completed,100,100,100
male,group E,associate's degree,free/reduced,none,58,57,55
female,group D,some college,standard,completed,100,100,100
female,group B,some high school,standard,none,78,77,81
female,group B,bachelor's degree,free/reduced,completed,81,84,87
male,group A,master's degree,free/reduced,none,61,64,67
female,group E,some college,free/reduced,none,64,60,67
male,group D,some high school,free/reduced,completed,78,76,78
female,group C,associate's degree,free/reduced,none,59,64,62
female,group B,some high school,standard,completed,100,100,100
female,group B,associate's degree,free/reduced,none,72,69,69
male,group C,some college,free/reduced,completed,80,80,80
female,group D,associate's degree,standard,none,89,82,87
female,group D,high school,standard,completed,97,94,95
male,group E,high school,free/reduced,completed,84,77,81
female,group E,high school,standard,none,76,75,72
male,group A,bachelor's degree,standard,none,82,81,85
male,group B,some college,free/reduced,none,60,57,60
female,group E,some high school,standard,none,76,75,74
male,group D,some high school,standard,completed,92,91,91
female,group C,bachelor's degree,free/reduced,none,63,69,68
male,group D,associate's degree,free/reduced,completed,78,79,75
male,group B,bachelor's degree,standard,none,79,79,78
female,group D,associate's degree,standard,completed,100,99,98
male,group A,associate's degree,free/reduced,completed,81,77,85
male,group B,master's degree,standard,completed,100,100,100
male,group C,some high school,standard,completed,94,93,91
male,group A,high school,standard,none,70,69,76
male,group B,associate's degree,free/reduced,none,70,68,65
female,group C,master's degree,standard,completed,100,100,100
male,group A,some high school,standard,none,58,62,59
female,group A,high school,free/reduced,none,65,66,62
male,group B,associate's degree,standard,completed,87,87,92
female,group E,associate's degree,standard,none,79,88,79
female,group A,bachelor's degree,free/reduced,none,76,76,78
male,group A,bachelor's degree,free/reduced,none,55,59,58
male,group C,some high school,free/reduced,completed,63,66,64
male,group D,high school,free/reduced,none,58,57,60
female,group B,associate's degree,standard,completed,99,100,100
male,group B,some high school,standard,none,61,60,61
female,group E,some high school,free/reduced,none,74,76,70
female,group E,some college,free/reduced,none,68,68,72
female,group B,bachelor's degree,standard,completed,100,100,100
male,group E,high school,free/reduced,completed,84,80,79
male,group C,associate's degree,standard,none,69,73,72
female,group B,some high school,free/reduced,completed,81,80,78
female,group E,associate's degree,standard,none,70,70,76
male,group B,some college,free/reduced,completed,77,76,77
female,group D,high school,free/reduced,completed,81,85,79
male,group A,some high school,standard,none,63,63,63
female,group B,associate's degree,free/reduced,none,63,61,61
male,group A,bachelor's degree,standard,none,74,71,72
female,group E,some college,standard,none,79,79,81
male,group A,high school,standard,completed,92,90,93
female,group B,some college,standard,completed,100,100,100
male,group D,bachelor's degree,standard,completed,100,100,100
male,group E,high school,free/reduced,none,59,61,62
female,group B,some college,free/reduced,none,69,71,68
female,group E,master's degree,standard,completed,100,100,100
male,group C,bachelor's degree,free/reduced,none,64,65,64
female,group A,bachelor's degree,standard,completed,100,100,100
male,group C,bachelor's degree,free/reduced,completed,90,86,89
female,group B,master's degree,free/reduced,completed,86,88,89
male,group D,master's degree,free/reduced,completed,95,93,93
male,group E,associate's degree,free/reduced,completed,85,85,85
male,group A,some high school,standard,none,73,75,73
male,group E,some college,standard,none,79,77,79
male,group B,associate's degree,free/reduced,none,61,56,57
male,group E,some college,free/reduced,completed,83,83,81
female,group A,some high school,standard,completed,88,90,89
female,group B,master's degree,free/reduced,completed,94,99,97
female,group E,some high school,standard,completed,94,92,94
male,group D,master's degree,standard,none,85,82,80
male,group B,some high school,standard,none,65,66,65
male,group B,associate's degree,free/reduced,completed,85,81,83
male,group D,high school,standard,completed,84,89,89
female,group C,associate's degree,free/reduced,completed,87,88,88
female,group A,some college,standard,none,84,80,83
male,group C,associate's degree,free/reduced,none,56,56,57
female,group E,bachelor's degree,free/reduced,none,66,64,66
female,group D,some college,free/reduced,completed,91,91,90
male,group C,some high school,standard,completed,85,91,86
female,group B,some college,standard,none,83,83,84
male,group E,high school,free/reduced,completed,75,76,78
female,group E,master's degree,free/reduced,none,64,62,63
male,group C,some high school,free/reduced,completed,78,77,77
male,group C,some college,standard,none,72,75,74
male,group D,some high school,standard,completed,88,85,87
male,group A,some high school,standard,none,63,56,62
female,group C,some high school,standard,none,78,81,79
male,group C,master's degree,free/reduced,none,69,70,70
male,group B,associate's degree,free/reduced,none,64,60,61
male,group E,some high school,standard,none,65,63,61
female,group A,bachelor's degree,standard,none,76,79,80
male,group B,high school,free/reduced,completed,77,71,71
female,group D,master's degree,standard,completed,100,100,100
male,group D,some college,standard,completed,97,90,93
female,group C,master's degree,standard,none,82,79,87
female,group C,some college,standard,none,70,69,71
male,group D,master's degree,standard,completed,96,98,91
female,group C,some college,standard,none,73,75,72
male,group A,some high school,free/reduced,none,55,48,51
male,group C,associate's degree,standard,none,75,70,73
male,group E,some college,standard,none,72,73,74
female,group C,some college,free/reduced,none,73,72,73
female,group B,bachelor's degree,free/reduced,completed,93,94,97
male,group A,some college,free/reduced,completed,80,78,75
male,group B,bachelor's degree,standard,completed,92,95,94
female,group B,high school,free/reduced,completed,85,84,88
male,group E,some high school,standard,completed,100,95,98
male,group A,bachelor's degree,standard,none,69,68,68
male,group A,associate's degree,standard,none,76,73,78
female,group A,some high school,free/reduced,none,61,58,59
female,group A,bachelor's degree,free/reduced,none,75,75,69
female,group A,some high school,free/reduced,completed,89,86,91
male,group E,some high school,free/reduced,completed,76,72,73
male,group C,some high school,free/reduced,completed,63,66,67
male,group B,high school,standard,none,72,72,71
